datetime,KTL_swe,SNM_swe,BND_fnf,ORO_fnf,YRS_fnf,FOL_fnf,NML_fnf,TLG_fnf,MRC_fnf,MIL_fnf,MKM_fnf,NHG_fnf,SHA_fnf,ORO_precip,FOL_precip,SHA_precip,ORO_tas,FOL_tas,SHA_tas,netgains,WY,DOWY,SR_WYI,SR_WYT,SR_WYT_rolling,SJR_WYI,SJR_WYT,8RI,SHA_in_tr,ORO_in_tr,FOL_in_tr,SHA_fci,ORO_fci,FOL_fci,YRS_swe,FOL_swe,ORO_swe,BND_swe,gains_sim,OMR_sim,SHA_snowpack,SHA_cum_flow_to_date,SHA_remaining_flow,SHA_slope,SHA_intercept,SHA_mean,SHA_std,ORO_snowpack,ORO_cum_flow_to_date,ORO_remaining_flow,ORO_slope,ORO_intercept,ORO_mean,ORO_std,FOL_snowpack,FOL_cum_flow_to_date,FOL_remaining_flow,FOL_slope,FOL_intercept,FOL_mean,FOL_std,octmar_flow_to_date,octmar_mean,octmar_std,aprjul_flow_to_date,aprjul_mean,aprjul_std,aprjul_slope,aprjul_intercept,WYI_sim,WYT_sim
2006-10-11,0.0,0.0,,1327.38,551.77,230.28,482.63,546.81,275.27,641.29,87.55,23.43,3752.73,0.0,0.0,0.0,151.90804,141.169,159.71444000000005,14.69950411,2007,11,4.818751631216347,C,C,,C,0.2498273053644148,3790.0521319928375,2098.510849475791,878.3793592310542,90408.66077003597,0.5752780165098652,1.067658041055042,,,0.0,0.0,0.0,-276.8,0.0,83.01997968968118,4235.463796155989,44.75059715409853,5635.384343751533,5740.813590194933,1922.688997874828,0.0,46.47879712268674,2580.869562944898,61.75802311472845,3681.7358374715363,3970.742745519247,1773.677461824293,,19.797414208280504,1746.4648873355115,369.695311812669,2534.1673679222963,2773.291726722819,1346.7724008657656,,,,,,,,,4.397346948831645,C
2006-10-12,0.0,0.0,,1326.9,551.53,227.99,476.6,581.99,245.91,628.73,85.28,23.28,3752.6,0.0,0.0,0.0,158.43466,147.29008,163.96928,34.30611564,2007,12,4.818751631216347,C,C,,C,0.2498273053644148,3789.9306803574873,2098.241210474088,877.4237995805724,89678.15841189167,0.5580196760145693,1.0356282998233908,,,0.0,0.0,0.0,-356.6,0.0,90.5371975554172,4227.9465782902535,44.73479076278728,5628.660812751985,5734.0528204537595,1922.7416783113974,0.0,50.64059786372605,2576.7077622038587,61.760680235171655,3677.6746628512847,3966.694005334634,1773.6757581451466,,21.537758931790567,1744.7245426120014,369.6735900675587,2532.209036343435,2771.3193452001105,1346.9166705240734,,,,,,,,,4.397346948831645,C
2006-10-13,0.0,0.0,,1326.38,551.15,225.98,472.05,527.41,217.74,603.59,83.52,23.23,3751.89,0.0,0.0,0.0,156.99844000000002,143.815,166.88852000000003,5.472396685,2007,13,4.818751631216347,C,C,,C,0.2498273053644148,3789.267367579808,2097.949101555576,876.5850769179225,88983.51785887689,0.5412790857341322,1.004559450828689,,,0.0,0.0,0.0,-244.6,0.0,98.05309975944763,4220.430676086223,44.701564933524295,5621.758073124658,5727.071803119217,1922.3586714023559,0.0,54.8018192151759,2572.546540852409,61.76423708538717,3673.632304818543,3962.6682921721663,1773.6881983962598,,23.27644007316264,1742.9858614706295,369.4742293282627,2530.322413608166,2769.303773009896,1347.0123387314022,,,,,,,,,4.397346948831645,C
2006-10-14,0.0,0.0,,1325.36,550.3,224.04,473.31,532.89,204.79,588.84,82.2,23.21,3750.87,0.0,0.0,0.0,146.69038,138.523,154.96352000000002,-6.34214875,2007,14,4.818751631216347,C,C,,C,0.2498273053644148,3788.314439363986,2097.376118676957,875.7755635022305,88322.65640529702,0.5250407131621082,0.9744226673038283,,,0.0,0.0,0.0,-83.1,0.0,105.56711185792922,4212.916663987741,44.72727076187051,5614.498806047034,5719.873097157739,1922.168931943489,0.0,58.9619040716618,2568.3864559959234,61.79261859780026,3669.214642077743,3958.3834454240837,1773.3845087186344,,25.01351556809307,1741.248785975699,369.4362564221122,2528.42323782732,2767.380035795499,1347.060598825194,,,,,,,,,4.397346948831645,C
2006-10-15,0.0,0.0,,1324.91,549.94,222.66,468.42,536.34,197.65,575.19,81.15,23.14,3750.23,0.0,0.0,0.0,143.50888,134.69512,148.5908,4.591735529,2007,15,4.818751631216347,C,C,,C,0.2498273053644148,3787.7165236207256,2097.12333211286,875.1997240622022,87694.24010865288,0.5092894917672449,0.9451899872847135,,,0.0,0.0,0.0,-163.0,0.0,113.07993800783113,4205.403837837839,44.79113058497472,5605.616124039375,5711.140864383297,1921.2062757040208,0.0,63.12148753331067,2564.226872534274,61.82447681013269,3664.924018268645,3954.2419074013787,1773.0864547448969,,26.749448902152636,1739.5128526416395,369.31605404625196,2526.59141790328,2765.4704672088824,1346.9162985595872,,,,,,,,,4.397346948831645,C
2006-10-16,0.0,0.0,,1326.23,550.83,223.72,466.65,507.79,184.62,553.12,80.39,23.13,3810.38,0.04,0.08,0.15,136.92772,133.79548,141.97004,3.215206606,2007,16,4.818751631216347,C,C,,C,0.2498273053644148,3843.9112610537386,2097.864839367544,875.642035516137,87153.43936427397,0.5340108070142275,0.996834287666172,,,0.0,0.0,0.0,-73.7,0.0,120.7042247937761,4197.7795510518945,44.76816499026905,5597.777161092532,5703.2477961172435,1920.63574747342,0.0,67.28254175314817,2560.065818314437,61.846765335774364,3660.6770897130573,3950.099281696752,1772.51403924186,,28.486259548185473,1737.7760419956066,369.2886985279221,2524.6932176356404,2763.5545729901137,1346.7003701108113,,,,,,,,,4.397346948831645,C
2006-10-17,0.0,0.0,,1327.23,549.53,220.7,465.31,488.82,174.04,533.34,79.83,23.1,3776.64,0.02,0.01,0.04,138.45484000000002,133.30156,136.85660000000001,8.211570234,2007,17,4.818751631216347,C,C,,C,0.2498273053644148,3812.389890463716,2098.4265872877586,874.3818651473794,86608.15728652399,0.5379904828038007,0.9769292590361868,,,0.0,0.0,0.0,252.7,0.0,128.26598985303625,4190.217785992634,44.73993402559364,5590.184616053432,5695.5887409191455,1920.0124483376894,0.0,71.44471018373463,2555.9036498838504,61.85981582751268,3656.571469143432,3946.054733066863,1772.0058985029632,,30.220570682747297,1736.0417308610447,369.4077751907174,2522.406705717636,2761.345081606936,1345.4599940291682,,,,,,,,,4.397346948831645,C
2006-10-18,0.0,0.0,,1323.8,548.77,219.57,464.25,465.2,164.4,519.22,79.28,23.07,3749.02,0.0,0.0,0.0,145.1269,137.48224,146.32028,10.91107436,2007,18,4.818751631216347,C,C,,C,0.2498273053644148,3786.5860891686234,2096.499791921422,873.9103444464866,86064.3355113664,0.5218507683196867,0.9476213812651011,,,0.0,0.0,0.0,211.1,0.0,135.7765738189047,4182.707202026766,44.71820004816227,5582.623796609393,5687.976717759211,1919.1161186583306,0.0,75.60305687145215,2551.7453031961327,61.83899806272064,3652.313369781,3941.699213522702,1771.6317427824854,,31.953946569639506,1734.3083549741525,369.6611550517228,2519.8905966363345,2758.992862342086,1343.88016922702,,,,,,,,,4.397346948831645,C
2006-10-19,0.0,0.0,,1323.62,548.64,218.97,463.35,441.85,154.48,499.01,78.85,23.05,3749.42,0.0,0.0,0.01,149.90824000000003,140.5516,159.92432000000002,3.887603299,2007,19,4.818751631216347,C,C,,C,0.2498273053644148,3786.9597865081614,2096.3986772957833,873.6599794725612,85548.07852230624,0.5061952452700961,0.919192739827148,,,0.0,0.0,0.0,184.7,0.0,143.28789900263544,4175.195876843035,44.70713671938199,5575.513011464604,5680.839868193145,1919.0095603722552,0.0,79.76120300123486,2547.5871570663503,61.849420797048644,3648.1492142687935,3937.5838329237695,1771.4340498724164,,33.68682586484873,1732.5754756789433,369.7018523112951,2517.870975465679,2756.999564756797,1343.3940718474282,,,,,,,,,4.397346948831645,C
2006-10-20,0.0,0.0,,1323.41,548.45,218.36,462.51,420.84,145.16,482.23,78.45,23.03,3748.49,0.0,0.0,0.0,157.36204,147.27244,161.69876,5.109421479,2007,20,4.818751631216347,C,C,,C,0.2498273053644148,3786.0909401937356,2096.2807102325382,873.4054417490705,85056.76553638466,0.49100938791199317,0.8916169576323335,,,0.0,0.0,0.0,369.6,0.0,150.79750085483636,4167.686274990834,44.68631073137654,5567.743658983042,5673.021451154648,1918.9708419480764,0.0,83.91911514676029,2543.4292449208247,61.85277529830897,3643.7681280560637,3933.2184446558335,1771.1972766459478,,35.41920029184692,1730.8431012519452,369.82694664310094,2515.888118380168,2755.097620522834,1343.1870869814215,,,,,,,,,4.397346948831645,C
2006-10-21,0.0,0.0,,1323.26,548.35,217.84,461.79,404.03,137.05,466.64,78.11,23.01,3748.25,0.0,0.0,0.0,161.59797999999998,153.28768,158.24527999999998,0.36694214799999997,2007,21,4.818751631216347,C,C,,C,0.2498273053644148,3785.866721790013,2096.196448044506,873.1884587716685,84589.79398135543,0.4762791062746334,0.8648684489033635,,,0.0,0.0,0.0,237.4,0.0,158.30665797631988,4160.177117869351,44.71806899381846,5560.357185314354,5665.709797709392,1918.7547051385247,0.0,88.07686016067338,2539.2714999069117,61.88157085671605,3639.274353117103,3928.859423306463,1770.9086235789994,,37.151144339386526,1729.1111572044056,369.79228898999463,2514.0299126689292,2753.216997732417,1343.0344921141589,,,,,,,,,4.397346948831645,C
2006-10-22,0.0,0.0,,1323.12,548.26,217.39,461.14,390.7,130.22,453.03,77.81,22.99,3748.1,0.0,0.0,0.0,160.19812000000002,153.74632,157.31036,1.311074378,2007,22,4.818751631216347,C,C,,C,0.2498273053644148,3785.7265852876862,2096.117803335676,873.0006850412244,84146.03086757533,0.4619907330863944,0.8389223954362626,,,0.0,0.0,0.0,149.9,0.0,165.81553714110504,4152.668238704566,44.71752754782493,5553.467625094914,5658.8189618814295,1918.7423959022253,0.0,92.2344491850816,2535.113910882503,61.88033036815533,3635.0558236960997,3924.6350888135808,1770.8078156350007,,38.882715943163895,1727.3795856006282,369.78737891986674,2512.2416416202136,2751.425550778211,1342.9429609807307,,,,,,,,,4.397346948831645,C
2006-10-23,0.0,0.0,,1322.98,548.19,216.99,460.59,380.14,124.53,441.51,77.54,22.98,3747.92,0.0,0.0,0.0,159.27094000000002,153.49936,158.14988000000002,4.306115695,2007,23,4.818751631216347,C,C,,C,0.2498273053644148,3785.558421484894,2096.039158626846,872.8337750586076,83724.28774568146,0.44813101109380254,0.8137547235731747,,,0.0,0.0,0.0,282.9,0.0,173.32408275785218,4145.159693087819,44.644041530437995,5546.40701563253,5651.5852245519345,1918.3534909876043,0.0,96.39188221998498,2530.9564778476,61.8836906147986,3630.8679996330184,3920.4629895817607,1771.0198339802364,,40.61395648581928,1725.6483450579728,369.8011837121524,2510.411535240112,2749.604373540563,1342.8402334772009,,,,,,,,,4.397346948831645,C
2006-10-24,0.0,0.0,,1322.64,547.99,216.59,460.07,371.64,119.72,431.78,77.31,22.97,3747.25,0.0,0.0,0.0,156.18034,146.60211999999999,154.6964,9.494876017000001,2007,24,4.818751631216347,C,C,,C,0.2498273053644148,3784.932478441168,2095.848164333973,872.6668650759907,83323.00583683855,0.43468708076098844,0.7893420818659794,,,0.0,0.0,0.0,238.3,0.0,180.83138683467996,4137.652389010991,44.63755451357461,5538.224713314976,5643.387639280787,1917.4328032015685,0.0,100.5489364232337,2526.7994236443515,61.878848186330224,3626.560980113547,3916.133309115445,1770.8387084297767,,42.344865967352675,1723.9174355764394,369.7907814447136,2508.5845894413737,2747.7706994024275,1342.6966983381014,,,,,,,,,4.397346948831645,C
2006-10-25,0.0,0.0,,1321.74,547.47,216.19,459.59,365.01,115.78,424.23,77.11,22.96,3746.51,0.0,0.0,0.0,144.81784000000002,137.57044,141.4358,10.75834709,2007,25,4.818751631216347,C,C,,C,0.2498273053644148,3784.2411383630233,2095.3425912057796,872.4999550933737,82941.09668335965,0.4216464683381588,0.76566181941,,,0.0,0.0,0.0,193.4,0.0,188.3373196584625,4130.146456187208,44.64570277841797,5530.481075376084,5635.663198078404,1916.1903805703653,0.0,104.70498783680836,2522.6433722307765,61.85564864293894,3621.568672745545,3911.0324356378837,1769.605445211765,,44.07544438776408,1722.186857156028,369.673180762275,2506.164597475123,2745.274641587128,1341.8593463016225,,,,,,,,,4.397346948831645,C
2006-10-26,0.0,0.0,,1321.38,547.28,215.88,459.17,359.61,112.41,417.8,76.94,22.95,3745.8,0.0,0.0,0.0,144.74512000000001,136.56496,144.16424,1.711735534,2007,26,4.818751631216347,C,C,,C,0.2498273053644148,3783.5778255853434,2095.140361954502,872.3705998568456,82577.619674777,0.408997074288014,0.7426919648277,,,0.0,0.0,0.0,406.5,0.0,195.84193682053944,4122.641839025131,44.668470179806434,5523.150814909087,5628.386576001163,1915.3018462180048,0.0,108.86063813451338,2518.4877219330715,61.857053510103896,3616.709216437298,3906.1795536384493,1768.0184112350767,,45.80576623580595,1720.456535307986,369.4776439309723,2503.856049894331,2742.839617911257,1341.103833371534,,,,,,,,,4.397346948831645,C
2006-10-27,0.0,0.0,,1320.89,547.05,215.56,458.79,354.95,109.39,411.9,76.78,22.94,3744.78,0.0,0.0,0.0,149.54464000000002,143.42692,148.03748,-1.7652892530000002,2007,27,4.818751631216347,C,C,,C,0.2498273053644148,3782.6248973695215,2094.865105473597,872.2370718707522,82231.36358840766,0.3967271620593736,0.7204112058828689,,,0.0,0.0,0.0,494.7,0.0,203.34466387706755,4115.139111968603,44.65048475694604,5514.779148760164,5619.9725374661775,1914.5626305343046,0.0,113.01574246895142,2514.3326175986335,61.8802009913391,3611.9941464220055,3901.5728060992246,1767.6061193700061,,47.53582323495022,1718.726478308842,369.3423731992164,2501.9129315246546,2740.8090044450464,1340.8808776026694,,,,,,,,,4.397346948831645,C
2006-10-28,0.0,0.0,,1320.36,546.75,215.22,458.4,350.78,106.66,406.36,76.64,22.93,3744.03,0.0,0.0,0.0,150.29002,146.02,151.62452000000002,3.4234710689999996,2007,28,4.818751631216347,C,C,,C,0.2498273053644148,3781.9242148578883,2094.567379075883,872.0951983855277,81901.71962384517,0.38482534719759237,0.6987988697063828,,,0.0,0.0,2.536019915768091,492.7,0.0,210.84600115010383,4107.637774695567,44.599581670217844,5506.633013154345,5611.706477782988,1912.811105198052,0.0,117.17025627169251,2510.1781037958926,61.88614139634206,3607.5298087290275,3897.1362675163177,1767.30855835263,,49.2655988321408,1716.9967027116513,369.27334879912127,2499.90414119992,2738.7555681243052,1340.4235123853027,,,,,,,,,4.397346948831645,C
2006-10-29,0.0,0.0,,1319.91,546.4,214.87,457.99,346.91,104.05,401.04,76.5,22.92,3742.98,0.0,0.0,0.0,147.0358,137.9938,145.84328,1.57487603,2007,29,4.818751631216347,C,C,,C,0.2498273053644148,3780.943259341601,2094.3145925117865,871.949152150738,81587.57690199451,0.3732805867816646,0.6778349036151913,,,0.0,0.0,5.010864230811235,527.1,0.0,218.3453927262516,4100.138383119419,44.63070845464001,5498.276237641669,5603.423034776126,1911.7678026250487,0.0,121.32426867959656,2506.0240913879884,61.90032686225781,3602.596191394425,3892.2690334212843,1766.3474849747076,,50.99508475084965,1715.2672167929425,369.4040604407764,2497.417752965906,2736.353726100372,1339.0498236269914,,,,,,,,,4.397346948831645,C
2006-10-30,0.0,0.0,,1319.47,546.11,214.52,457.58,343.57,101.77,396.4,76.39,22.91,3742.12,0.0,0.0,0.0,136.05508,124.53447999999999,137.92508,2.505123963,2007,30,4.818751631216347,C,C,,C,0.2498273053644148,3780.1398100615943,2094.0674234268918,871.8031059159482,81288.33786695638,0.3620821691782146,0.6574998565067355,,,0.0,0.0,7.363190734206116,771.4,0.0,225.8431906839954,4092.640585161675,44.48896240881013,5490.0939606033035,5594.906814064409,1909.9812132502038,0.0,125.47779083477107,2501.870569232814,61.84989409786507,3597.7314855720674,3887.1683191166862,1765.0772850122266,,52.72428099107675,1713.5380205527154,369.45326499050316,2495.1139132255594,2734.081712585644,1338.1742999912913,,,,,,,,,4.397346948831645,C
2006-10-31,0.0,0.0,,1319.0,545.8,214.2,457.2,340.92,99.86,392.55,76.28,22.91,3740.87,0.0,0.0,0.0,130.69198,123.98764,132.25832000000003,8.584462795,2007,31,4.818751631216347,C,C,,C,0.2498273053644148,3778.9720058755383,2093.8034019043907,871.6695779298547,81002.8929794841,0.3512197041028682,0.6377748608115335,0.0003937007874015748,0.0003492506985013971,0.0,0.0,9.633423823651164,1134.7,0.0,233.33867233591954,4085.145103509751,44.44452923424039,5481.160039200364,5585.868211240218,1907.2966165499438,0.0,129.63078931089356,2497.717570756691,61.845768115348285,3593.225542809717,3882.643068135099,1764.3932043497546,0.0003492506985013971,54.453212382406264,1711.8090891613858,369.43794213548205,2492.836511005284,2731.7943993176345,1337.0577263172154,0.13264024440473302,3.6272833344014126,4.975825229732417,0.0,3.6272833344014126,1.899000249115956,-0.014786186512942638,3.8080801015033137,4.397346948831645,C
2006-11-01,0.0,0.0,,1318.9,545.51,213.84,456.78,338.85,98.26,389.51,76.18,22.9,3746.43,0.01,0.0,0.04,130.25566,124.88728,131.705,10.73851238,2007,32,4.818751631216347,C,C,,C,0.419802544747598,3892.1230561257826,1850.639034790906,995.9972807551289,80844.87138663567,0.3506831129797821,0.6186416149871874,0.0003937007874015748,0.0003492506985013971,0.0,0.0,11.855213667705495,1423.4,0.0,241.05858582267282,4077.425190022998,79.38346940354502,5537.933673087401,5576.8168135838805,1941.1688162775029,0.0,133.30147829933873,2494.0468817682463,21.046490173424576,3839.1496689170976,3878.0374878642797,1871.588172559207,0.0003492506985013971,56.42874417561857,1709.8335573681736,406.7550877517064,2391.4941482402883,2729.5634242446868,1342.2165869676815,,,,,,,,,4.481786046282369,C
2006-11-02,0.0,0.0,,1367.05,571.9,244.84,458.14,340.32,98.27,389.78,79.11,26.4,3839.94,0.25,0.24,0.21,133.60078,136.8472,126.01916,-1.7335537159999999,2007,33,4.818751631216347,C,C,,C,0.419802544747598,3978.840357261045,1886.2341946929728,1011.558925747208,80781.46817456493,0.5901626195903886,0.8400823665375717,0.0003937007874015748,0.0003492506985013971,0.0,0.0,11.481562962345388,1854.0,0.0,248.95050056758657,4069.533275278084,80.92721636945944,5527.902190929915,5567.541480415823,1939.1405833834704,0.0,137.04276925771867,2490.3055908098663,20.9055312214887,3834.9914057712517,3873.618773395828,1870.8042758026688,0.0003492506985013971,58.43514204149046,1707.8271595023016,406.9501610772046,2388.7350961340153,2726.9665048317834,1341.2553664317725,,,,,,,,,4.481786046282369,C
2006-11-03,0.0,0.0,,1545.29,593.96,252.13,461.42,365.32,103.95,400.58,87.93,31.55,4188.77,0.47,0.23,0.48,137.96398000000002,134.18356,128.366,4.659173546,2007,34,4.818751631216347,C,C,,C,0.419802544747598,4302.3308519141665,2017.9991230614962,1015.2184222630873,81044.72561775085,1.042457741002677,1.0448798955414447,0.0003937007874015748,0.0003492506985013971,0.0,0.0,11.12004553981262,2358.2,0.0,257.4840493504012,4060.9997264952694,81.5360175771573,5519.325344388772,5559.262833274013,1938.0138590664635,0.0,141.04541213969523,2486.30294792789,20.59661632891238,3830.957327277736,3869.0139096400844,1870.2788046953835,0.0003492506985013971,60.44879841283616,1705.813503130956,407.23741931039484,2385.923138706461,2724.3932984016847,1340.6292842999155,,,,,,,,,4.481786046282369,C
